estado;dia;quantidaDeCasos
Amapa;31/03/2020;2
Amapa;01/04/2020;1
Amapa;02/04/2020;0
Amapa;03/04/2020;8
Amapa;04/04/2020;9
Amapa;05/04/2020;1
Amapa;06/04/2020;5
Amapa;07/04/2020;14
Amapa;08/04/2020;59
Amapa;09/04/2020;21
Amapa;10/04/2020;38
Amapa;11/04/2020;27
Amapa;12/04/2020;37
Amapa;13/04/2020;12
Amapa;14/04/2020;65
Amapa;15/04/2020;27
Amapa;16/04/2020;28
Amapa;17/04/2020;8
Amapa;18/04/2020;23
Amapa;19/04/2020;23
Amapa;20/04/2020;17
Tocantins;30/01/2020;0
Tocantins;31/01/2020;0
Tocantins;01/02/2020;0
Tocantins;02/02/2020;0
Tocantins;03/02/2020;0
Tocantins;04/02/2020;0
Tocantins;05/02/2020;0
Tocantins;06/02/2020;0
Tocantins;07/02/2020;0
Tocantins;08/02/2020;0
Tocantins;09/02/2020;0
Tocantins;10/02/2020;0
Tocantins;11/02/2020;0
Tocantins;12/02/2020;0
Tocantins;13/02/2020;0
Tocantins;14/02/2020;0
Tocantins;15/02/2020;0
Tocantins;16/02/2020;0
Tocantins;17/02/2020;0
Tocantins;18/02/2020;0
Tocantins;19/02/2020;0
Tocantins;20/02/2020;0
Tocantins;21/02/2020;0
Tocantins;22/02/2020;0
Tocantins;23/02/2020;0
Tocantins;24/02/2020;0
Tocantins;25/02/2020;0
Tocantins;26/02/2020;0
Tocantins;27/02/2020;0
Tocantins;28/02/2020;0
Tocantins;29/02/2020;0
Tocantins;01/03/2020;0
Tocantins;02/03/2020;0
Tocantins;03/03/2020;0
Tocantins;04/03/2020;0
Tocantins;05/03/2020;0
Tocantins;06/03/2020;0
Tocantins;07/03/2020;0
Tocantins;08/03/2020;0
Tocantins;09/03/2020;0
Tocantins;10/03/2020;0
Tocantins;11/03/2020;0
Tocantins;12/03/2020;0
Tocantins;13/03/2020;0
Tocantins;14/03/2020;0
Tocantins;15/03/2020;0
Tocantins;16/03/2020;0
Tocantins;17/03/2020;0
Tocantins;18/03/2020;0
Tocantins;19/03/2020;1
Tocantins;20/03/2020;0
Tocantins;21/03/2020;1
Tocantins;22/03/2020;0
Tocantins;23/03/2020;3
Tocantins;24/03/2020;2
Tocantins;25/03/2020;0
Tocantins;26/03/2020;0
Tocantins;27/03/2020;1
Tocantins;28/03/2020;1
Tocantins;29/03/2020;0
Tocantins;30/03/2020;1
Tocantins;31/03/2020;1
Tocantins;01/04/2020;1
Tocantins;02/04/2020;0
Tocantins;03/04/2020;0
Tocantins;04/04/2020;2
Tocantins;05/04/2020;3
Tocantins;06/04/2020;0
Tocantins;07/04/2020;2
Tocantins;08/04/2020;4
Tocantins;09/04/2020;0
Tocantins;10/04/2020;0
Tocantins;11/04/2020;0
Tocantins;12/04/2020;2
Tocantins;13/04/2020;1
Tocantins;14/04/2020;0
Tocantins;15/04/2020;0
Tocantins;16/04/2020;3
Tocantins;17/04/2020;2
Tocantins;18/04/2020;2
Tocantins;19/04/2020;0
Tocantins;20/04/2020;1
Maranhao;30/01/2020;0
Maranhao;31/01/2020;0
Maranhao;01/02/2020;0
Maranhao;02/02/2020;0
Maranhao;03/02/2020;0
Maranhao;04/02/2020;0
Maranhao;05/02/2020;0
Maranhao;06/02/2020;0
Maranhao;07/02/2020;0
Maranhao;08/02/2020;0
Maranhao;09/02/2020;0
Maranhao;10/02/2020;0
Maranhao;11/02/2020;0
Maranhao;12/02/2020;0
Maranhao;13/02/2020;0
Maranhao;14/02/2020;0
Maranhao;15/02/2020;0
Maranhao;16/02/2020;0
Maranhao;17/02/2020;0
Maranhao;18/02/2020;0
Maranhao;19/02/2020;0
Maranhao;20/02/2020;0
Maranhao;21/02/2020;0
Maranhao;22/02/2020;0
Maranhao;23/02/2020;0
Maranhao;24/02/2020;0
Maranhao;25/02/2020;0
Maranhao;26/02/2020;0
Maranhao;27/02/2020;0
Maranhao;28/02/2020;0
Maranhao;29/02/2020;0
Maranhao;01/03/2020;0
Maranhao;02/03/2020;0
Maranhao;03/03/2020;0
Maranhao;04/03/2020;0
Maranhao;05/03/2020;0
Maranhao;06/03/2020;0
Maranhao;07/03/2020;0
Maranhao;08/03/2020;0
Maranhao;09/03/2020;0
Maranhao;10/03/2020;0
Maranhao;11/03/2020;0
Maranhao;12/03/2020;0
Maranhao;13/03/2020;0
Maranhao;14/03/2020;0
Maranhao;15/03/2020;0
Maranhao;16/03/2020;0
Maranhao;17/03/2020;0
Maranhao;18/03/2020;0
Maranhao;19/03/2020;0
Maranhao;20/03/2020;0
Maranhao;21/03/2020;1
Maranhao;22/03/2020;1
Maranhao;23/03/2020;0
Maranhao;24/03/2020;6
Maranhao;25/03/2020;0
Maranhao;26/03/2020;2
Maranhao;27/03/2020;3
Maranhao;28/03/2020;1
Maranhao;29/03/2020;2
Maranhao;30/03/2020;7
Maranhao;31/03/2020;8
Maranhao;01/04/2020;21
Maranhao;02/04/2020;19
Maranhao;03/04/2020;10
Maranhao;04/04/2020;7
Maranhao;05/04/2020;8
Maranhao;06/04/2020;37
Maranhao;07/04/2020;39
Maranhao;08/04/2020;58
Maranhao;09/04/2020;43
Maranhao;10/04/2020;20
Maranhao;11/04/2020;51
Maranhao;12/04/2020;54
Maranhao;13/04/2020;47
Maranhao;14/04/2020;33
Maranhao;15/04/2020;152
Maranhao;16/04/2020;65
Maranhao;17/04/2020;102
Maranhao;18/04/2020;243
Maranhao;19/04/2020;165
Maranhao;20/04/2020;115
Piaui;30/01/2020;0
Piaui;31/01/2020;0
Piaui;01/02/2020;0
Piaui;02/02/2020;0
Piaui;03/02/2020;0
Piaui;04/02/2020;0
Piaui;05/02/2020;0
Piaui;06/02/2020;0
Piaui;07/02/2020;0
Piaui;08/02/2020;0
Piaui;09/02/2020;0
Piaui;10/02/2020;0
Piaui;11/02/2020;0
Piaui;12/02/2020;0
Piaui;13/02/2020;0
Piaui;14/02/2020;0
Piaui;15/02/2020;0
Piaui;16/02/2020;0
Piaui;17/02/2020;0
Piaui;18/02/2020;0
Piaui;19/02/2020;0
Piaui;20/02/2020;0
Piaui;21/02/2020;0
Piaui;22/02/2020;0
Piaui;23/02/2020;0
Piaui;24/02/2020;0
Piaui;25/02/2020;0
Piaui;26/02/2020;0
Piaui;27/02/2020;0
Piaui;28/02/2020;0
Piaui;29/02/2020;0
Piaui;01/03/2020;0
Piaui;02/03/2020;0
Piaui;03/03/2020;0
Piaui;04/03/2020;0
Piaui;05/03/2020;0
Piaui;06/03/2020;0
Piaui;07/03/2020;0
Piaui;08/03/2020;0
Piaui;09/03/2020;0
Piaui;10/03/2020;0
Piaui;11/03/2020;0
Piaui;12/03/2020;0
Piaui;13/03/2020;0
Piaui;14/03/2020;0
Piaui;15/03/2020;0
Piaui;16/03/2020;0
Piaui;17/03/2020;0
Piaui;18/03/2020;0
Piaui;19/03/2020;0
Piaui;20/03/2020;3
Piaui;21/03/2020;1
Piaui;22/03/2020;0
Piaui;23/03/2020;2
Piaui;24/03/2020;0
Piaui;25/03/2020;2
Piaui;26/03/2020;1
Piaui;27/03/2020;0
Piaui;28/03/2020;2
Piaui;29/03/2020;3
Piaui;30/03/2020;2
Piaui;31/03/2020;2
Piaui;01/04/2020;0
Piaui;02/04/2020;1
Piaui;03/04/2020;2
Piaui;04/04/2020;1
Piaui;05/04/2020;1
Piaui;06/04/2020;0
Piaui;07/04/2020;5
Piaui;08/04/2020;3
Piaui;09/04/2020;7
Piaui;10/04/2020;2
Piaui;11/04/2020;1
Piaui;12/04/2020;3
Piaui;13/04/2020;6
Piaui;14/04/2020;8
Piaui;15/04/2020;17
Piaui;16/04/2020;16
Piaui;17/04/2020;11
Piaui;18/04/2020;21
Piaui;19/04/2020;22
Piaui;20/04/2020;13
